用户名,UID,IP归属地,楼层,时间,评论内容
西京过客,33375808,陕西,4196,2025-06-17 13:27:30,这位终于正式露面了。这样看来明天大概率就是最后一位刻律德拉了。海列屈拉 Helektra 这个名字……原型可能是 埃莱克特拉 Elektra，两边只差了一个首字母H。埃莱克特拉 是古希腊英雄、迈锡尼国王、特洛伊远征统帅 阿伽门农 的女儿。阿伽门农 曾经自夸箭术天下无双，结果在一次狩猎中误杀了狩猎女神 阿尔忒弥斯 的神鹿，因此触怒女神。特洛伊战争爆发，阿伽门农统帅希腊联军舰队出征，女神为报复阿伽门农，让海上一直刮着逆风，导致舰队无法启航。先知作出预言：只有把 阿伽门农 的长女 伊菲革涅亚 献祭给狩猎女神，才能平息女神的怒火。阿伽门农 在纠结和不舍之后最终用&#34;送女儿出嫁”的谎言欺骗了他的妻子 克吕泰涅斯特拉，将长女推上祭坛完成献祭……这位 克吕泰涅斯特拉 我之前在 遐蝶 的考据帖子里提到过，她和 海伦（古希腊世界最美的女人、特洛伊战争导火索）、波鲁刻斯 和 卡斯托尔 兄弟（双子星座、遐蝶和死龙的原型）都是同一个母亲生下的兄弟姐妹。克吕泰涅斯特拉 后来知道了长女被 阿伽门农 献祭的真相，再加上特洛伊战争一打就是十年，独守空房的她深深憎恨杀死自己女儿的丈夫，于是和阿伽门农的兄弟 埃奎斯托斯 通奸，在丈夫帅军远征特洛伊的十年里两人一同统治迈锡尼，并且在 阿伽门农 率领希腊联军凯旋班师回国后，趁着 阿伽门农 洗澡的时候，克吕泰涅斯特拉 伙同情人谋杀了自己的丈夫。之后 阿伽门农 的儿子 俄瑞斯忒斯 听说了父亲的死讯，决心复仇，最终联合 埃莱克特拉 一起杀死母亲和她的情人，重新夺回王位。以上这段算是希腊历史神话中很经典也很重要的一段情节，以此为原型的剧作、美术作品众多，比较经典的有 埃斯库罗斯 的《阿伽门农》《奠酒人》《报仇神》三部曲，以及 索福克勒斯 的《埃莱克特拉》。顺便，心理学中有一个名词叫做&#34;恋父情结”，Electra Complex，这个词也来自于为父报仇手刃母亲的 埃莱克特拉。
放放小孩纸,286258183,江西,4101,2025-06-17 13:21:07,说句有点不讨喜的话（真的真的没有恶意꒰ *•ɷ•* ꒱），就是没有那么让人眼前一亮的感觉，这就有点普普通通，或许可以在背景板上加把劲？
看看你的后面呢,292255461,湖北,568,2025-06-17 12:02:00,
1一次次哦哥红笔哦哈,443558726,广东,522,2025-06-17 12:01:47,卡黑海组一辈子dot队
吼吼哦呦,321982981,辽宁,500,2025-06-17 12:01:43,白厄对不起，我滴卡妈不需要等待了
不耀阳,393620978,陕西,821,2025-06-17 12:03:42,终于出来了
广杰轩,288857553,吉林,3631,2025-06-17 12:56:58,不太符合我对海瑟音的印象
太太太太欢愉了,357415810,福建,1255,2025-06-17 12:11:10,#大海洋音音🎼人美声甜#海瑟音❤️沧海遗珠#海瑟音🎵🎵以一敌万#海瑟音女人中的女人#海瑟音首次回应进dot队传闻#卡芙卡黑天鹅被拍到正在做法混沌回忆#卡芙卡黑天鹅被拍到正在做法虚构叙事#卡芙卡黑天鹅被拍到正在做法末日幻影#音音我们来接你回家啦
蝙蝠侠的老对手A,80914899,广东,1308,2025-06-17 12:12:06,和我组一辈子的dot队吧
尘厄chen,293185643,浙江,1567,2025-06-17 12:16:02,脸上这是鳞片吗
雾貅,341897524,浙江,5,2025-06-17 12:00:27,dot队要站起来了吗
白米饭不能输,287551519,湖南,162,2025-06-17 12:00:45,dot女子不会输
Yasobi,381042006,广东,318,2025-06-17 12:01:08,太好了是杀神我们有救了
晨曙,287171915,北京,605,2025-06-17 12:02:08,素……素裳？
爱莉希不希雅,298493734,新疆,2925,2025-06-17 12:36:04,
一个路过的西瓜,281335218,福建,2802,2025-06-17 12:33:49,紫色的比例太多了，感觉不出大海的感觉……脸有点像素裳，动作参考灵砂，说是剑骑，但是没看出剑的元素，还是我理解有误？有种难以理解的违和。可能是因为pv还没出来吧，再埋伏一手。
佐菲暴打贝利亚,311085673,安徽,1545,2025-06-17 12:15:44,虽然很好看，但是我要攒6+5的佐菲
欲买桂花同载氵酉,315497146,广东,1265,2025-06-17 12:11:25,"外貌令人神往，Dot令我止步。
"
零度铃兰,336041876,江西,652,2025-06-17 12:02:22,素裳偷了希儿的衣服穿
孤暝厄月丶,353741969,江苏,655,2025-06-17 12:02:23,sp素裳是吧
小何啊不,351282433,湖北,72,2025-06-17 12:00:36,看到的开拓者十连三金
雯雯味蓝莓小奶昔,332728043,北京,18,2025-06-17 12:00:31,好特别
羽沉舟鸭,173500527,湖北,5164,2025-06-17 15:26:46,这么一看立绘总感觉跟之前差分牌面和pv里的形象emmmm有点像但又有点说不上来的违和感，第一眼看过去差点没敢认，可能真的因为这个角度表情真的太像素裳了吧
参商离故,383579569,天津,897,2025-06-17 12:04:30,为什么看起来人山人海的（
缇里茜庇俄丝,257251529,新疆,687,2025-06-17 12:02:37,妈妈妈妈
KAYAKA51224,249149529,湖南,1066,2025-06-17 12:07:05,为什么有希儿+素裳的感觉（）
失信不失信,205609037,浙江,665,2025-06-17 12:02:29,
D大,338413703,四川,1234,2025-06-17 12:10:40,翻译:愿下一场欢宴永不落幕。
程前成谶,300892330,福建,192,2025-06-17 12:00:50,素裳？
小猫doro,76698538,重庆,627,2025-06-17 12:02:14,
澪熵,340877495,湖北,5690,2025-06-17 17:19:05,是我的错觉吗？希儿的衣服，素裳的脸，灵砂的姿势，感觉跟PV的气质是两个人，那种高贵优雅的感觉突然就没了，看起来怪怪的，我个人觉得甚至评论区里那个换成希儿脸的图片还好看符合一些
岁城璃心灬,299454241,广西,1317,2025-06-17 12:12:14,右上角有大佬翻译一下吗
C猫儿,395103678,江苏,1334,2025-06-17 12:12:35,然后你告诉我是物理
服了想要昵称都被占了,406066619,上海,4924,2025-06-17 14:47:08,楽，翻评论半小时，换头图够攒九宫格了，就是没看着说这个立绘眼前一亮的
大摆子贰叁,390193217,山东,4184,2025-06-17 13:26:44,只有我的关注点在破洞黑丝上吗
幽默刃,338154810,广东,774,2025-06-17 12:03:16,只需等待
bQvQq,301719990,广东,1303,2025-06-17 12:12:02,你怎么穿着希儿的衣服
铭自,100442654,湖北,5236,2025-06-17 15:41:43,既视感太浓了，感觉像是拼好人，建议官方赶紧狠狠的拷打美工让他们给角色做出区分
不玩原神的原神萌新,423747075,云南,5102,2025-06-17 15:15:11,这也不像啊
夜烛凝芯,381029728,黑龙江,3177,2025-06-17 12:42:18,总感觉有点即视感
施霰,410827789,河北,1929,2025-06-17 12:21:15,怎么感觉…灵砂是你吗
洛行仓,79826058,山东,1649,2025-06-17 12:17:15,雷电素裳
软糯丰川祥,321132337,安徽,5744,2025-06-17 17:33:34,想象中的应该类似这样
溢年,74731098,江西,5362,2025-06-17 16:05:42,虽然不玩，但一眼隔壁李素裳啊，完全没pv里的感觉啊
subdivisions,288378557,贵州,1328,2025-06-17 12:12:28,计划有变
云冰落,289773608,北京,3570,2025-06-17 12:54:46,之前脑补了伊甸的形象，现在一看有点不适应了
鹿林归,332598679,山东,7820,2025-06-19 10:03:08,
星魔赫卡特,338061407,浙江,2027,2025-06-17 12:22:30,主角也是有新外号了
游轩然,418264033,安徽,2001,2025-06-17 12:22:12,破洞私挖
FOKA,351705863,重庆,1321,2025-06-17 12:12:16,什么素裳啊 屑眼神传承黑塔女士
光明神帝,4350888,新疆,1320,2025-06-17 12:12:16,这是要穿越回过去了吗？白厄再度踏上轮回
王手Sama,387667243,吉林,1064,2025-06-17 12:07:02,塞西莉娅大人加入了光荣的dot队
Re冰与火之歌,288653427,江苏,105,2025-06-17 12:00:39,虚无？难道说是来拯救我们dot队的吗
低头等待他,389753297,江苏,5871,2025-06-17 18:05:32,冷知识，海瑟音能够抬升波提欧的力量，因为波力海抬
桐淸真涵,293773248,河北,4973,2025-06-17 14:55:08,我的海瑟音怎么有点憨
磨灭大道,317452325,山东,4418,2025-06-17 13:45:59,原本看剪影以为会是“少女”哥伦比亚那种感觉
超鬼金银花,416568677,四川,3633,2025-06-17 12:57:01,无论怎么看都像高冷型的李素裳
星铁小原帽,263974603,山东,3539,2025-06-17 12:53:44,
白雨念秋风,149483050,福建,3021,2025-06-17 12:38:15,你别说李素裳的颜值很高的
花重绵,420417745,湖北,1045,2025-06-17 12:06:39,有谁能翻译一下上面的字？
你有赌上一切的觉悟吗,257940640,斯威士兰,3778,2025-06-17 13:03:35,根据野史记载，那一天芽衣和素裳喝醉了，隔壁的隔壁的希儿也不小心闯了进来，诞生了海瑟音！
绣袿裳也,329259316,河南,8352,2025-07-04 16:03:39,没人发现海瑟音肚子是空的吗
26646486,332179944,广东,7352,2025-06-18 10:05:46,没人觉得海瑟音很恐怖吗👽立绘只是往树上躺着😁 一看就是松弛感拉满了👯 竟然能操控海洋的力量🔱 应该也是个狠茬子💪 战斗的时候疯狂朝敌人拉小提琴🎻 可是在一阵阵优美的音乐过后却无人受伤🙀
风月星萤美少女组好耶,286709942,福建,5612,2025-06-17 17:02:46,抛弃了杀神的气势，也拒绝小提琴，选择了人山人海
白愿桉,316585670,辽宁,5330,2025-06-17 15:59:48,第一眼觉得人山人海的这颜色是不是有点太希儿了，和素裳撞脸其实都是小问题，我就是觉得她作为一个二次元角色，​她发量是不是有点太少了……是视角问题吗，我记得她不是披肩长发吗。
思量如,420000770,河南,3622,2025-06-17 12:56:26,这个“灰色的小鱼苗”会不会是开拓者
北海阿佑,304840154,吉林,2242,2025-06-17 12:25:43,为什么我看到的是这样
宇智波遐蝶111,388304357,吉林,1330,2025-06-17 12:12:30,
1342443,322145363,浙江,1323,2025-06-17 12:12:20,啊？
法式派蒙,301969549,广东,883,2025-06-17 12:04:19,哇，御姐，还是那种温柔大姐姐款的
原味阿尔卑斯,4576693,广西,875,2025-06-17 12:04:11,来了来了，dot队的救世主
腻歪了啊吖,368441863,辽宁,40,2025-06-17 12:00:34,放个爱丽
债帮债主,402335190,江西,15,2025-06-17 12:00:30,闲着在米游社没事做？不如跟我一起做复读机，复制这段话再发出去，每天收入0元，我和身边的朋友都在做，反正闲着也是闲着，吃饱了也是撑着，不如挨顿骂
Re冰与火之歌,288653427,江苏,1,2025-06-17 12:00:25,
北辰南飞,321437318,山东,1585,2025-06-17 12:16:12,大家来找不同吧
ovo元元,299626585,广东,834,2025-06-17 12:03:50,
superliu1234,297708179,辽宁,8330,2025-07-02 17:03:51,加强海瑟音
卡芙卡赛高,214563011,广东,7371,2025-06-18 10:20:56,别说什么拼好人了，这是高贵的融合
妍苩,156780233,福建,7304,2025-06-18 09:18:13,评论区个个都是轮回神王，看谁都像前人的影子
blacklhomd,426387348,广西,6572,2025-06-17 21:29:13,龙，关联的是海蜗，珊瑚龙骨，杏叶，所以斯缇科西亚黎明时有海底的图，但应该也会有一半陆地，其次，武器是龙骨？存疑，但是却又有杏叶，所以是介于陆地于海洋之间？或者暗示什么？存疑
锦L,299353679,湖北,6063,2025-06-17 18:51:24,美工没用可以裁了
hhwhhe,325691897,上海,5083,2025-06-17 15:12:33,愿下一场欢宴永不落幕。May the next feast be eternal.
乐银零,376950572,四川,4964,2025-06-17 14:53:42,没之前拉小提琴那个好看，跟换头了一样，跌破期待值
欧阳千年,105858720,湖南,4617,2025-06-17 14:05:57,不是我说
亲抱抱举高高,81313944,江西,4043,2025-06-17 13:17:33,素裳你为什么偷穿希儿衣服
小短腿到处跑,287843672,河北,3296,2025-06-17 12:45:57,
奋斗吧小白,81396494,河南,3282,2025-06-17 12:45:26,那一天李素裳和希儿都喝醉了，生了一个海的女儿
一汪空气b,286817446,浙江,2982,2025-06-17 12:37:18,这照片是你嘛
玥玥迩,288296309,甘肃,1344,2025-06-17 12:12:45,脸像素裳，身材像阮梅，拖尾像希儿
小颜路1,233887638,福建,1325,2025-06-17 12:12:24,迟到了迟到了
Existzily,316329740,江西,1319,2025-06-17 12:12:16,灵砂+希儿嘛
是寂爱爱,159300832,广东,1316,2025-06-17 12:12:14,希儿的衣服芽衣的脸素裳的发型（）
遐蝶遐蝶遐,351728957,江苏,1154,2025-06-17 12:08:54,海瑟音大人，请出手叭
清风飘渺ZERO,134095761,广东,523,2025-06-17 12:01:47,必抽，让dot队再次伟大
抢球抢球,369986454,湖北,4,2025-06-17 12:00:26,1
桃芷十一,336604562,山东,876,2025-06-17 12:04:12,dot王朝！
柒小染シ,52105969,浙江,8341,2025-07-03 07:26:30,一个诉求，希望能解决一下dot队循环这个问题，这个队伍真的真的太卡手了
TropicalLion,423430270,浙江,7558,2025-06-18 14:22:30,猜你想看
藿藿小哭包,290462683,陕西,7427,2025-06-18 11:21:21,还有一小时就是刻律德拉的立绘了
浅摆个烂,367258653,重庆,7298,2025-06-18 09:15:46,等等...你是说素裳抢了希儿衣服，跑到白露同款取景地，学灵砂摆造型，顺便换了个名字叫海瑟音是吗？
夏北辰z,322319047,重庆,7286,2025-06-18 09:02:14,这种我觉得看剧情吧，剧情好了，强度好了也是愿意买单的
浮桥昨夜花,287778998,山东,7066,2025-06-18 02:15:27,这是谁的换色皮
珂塞特,73514859,山东,6387,2025-06-17 20:30:57,一张图看出了八百个角色碎片
卡斯兰娜骑士团,71690527,吉林,6384,2025-06-17 20:30:21,拼好人，花火的鱼素裳的脸希儿的裙子灵砂的感觉，仅这一张立绘而言，比广告小游戏略胜一筹，赛飞儿不是画的挺好的吗？真让白厄创世成功了？描一遍金血祝颂吧，感觉差远了，这个视觉效果只能用莫名其妙形容
银曜火,74578326,陕西,5736,2025-06-17 17:30:30,这是隔壁崩三的后崩芽衣。看眼睛
宝贝蔷薇,343916190,广东,5584,2025-06-17 16:55:58,能不能换脸啊，这长的呆呆傻傻的，不贴人设的感觉，不能出这种类型的美女吗
应星的星,434454248,福建,5134,2025-06-17 15:20:49,"好看！就是和我想象中的海瑟音完全不一样😂
海瑟音难道不是那个拉小提琴的吗，就算建模长裙不好建，但是差的也太多了叭"
矜暮er,276952702,上海,5104,2025-06-17 15:15:36,你看看这和pv是一个人吗
给阿淼带来好运吧,126197200,,4774,2025-06-17 14:24:05,我怎么感觉她好眼熟啊
月舞起芳华,299654879,山西,4636,2025-06-17 14:08:49,补药奔现啊，隔着屏幕多好
万劫苏,288194652,江苏,4404,2025-06-17 13:44:30,怪怪的，人山人海的
udhdchcjcjjfjd,311156714,江西,3857,2025-06-17 13:07:23,为啥是物理啊？我还以为是量子嘞
原木丝绸,290050179,河北,3799,2025-06-17 13:04:45,素裳？你怎么也来翁法洛斯了？
是祁不是柒,154166827,广东,3678,2025-06-17 12:59:20,
琉璃海莉,254767669,辽宁,3668,2025-06-17 12:58:46,随蝴蝶一起消散吧，旧日的幻影
鸠纠,310839991,浙江,3334,2025-06-17 12:47:14,只看下半身像希儿，看上半身像素裳
qaq萌新,290916075,安徽,1862,2025-06-17 12:20:17,李素裳➕灵砂的既视感
dsjd,15970674,浙江,1842,2025-06-17 12:19:58,上半dot，下半同谐，不好的回忆涌上心头
崩坏世界第一可爱希儿,74635943,广东,1684,2025-06-17 12:17:45,"浮梦若薇
崩坏3：塞西莉亚·沙尼亚特，米斯忒琳·沙尼亚特（羽兔）
原神：梦见月瑞希"
浥雨轻尘,266829806,浙江,1675,2025-06-17 12:17:39,第一眼看着像后崩芽衣
刻铭有终,318499134,江苏,1670,2025-06-17 12:17:33,"以一敌万叫万敌 
那么海瑟音一敌6万
是不是可以叫六万敌
"
阴雨日,302232601,安徽,1661,2025-06-17 12:17:27,幻视海列屈原
w青雀单推人w,398205955,广东,1655,2025-06-17 12:17:20,好耶！日配还是能天使/派派/安柏
梦与寻踪,292781524,河南,1503,2025-06-17 12:15:12,立绘有种李素裳画着芽衣的装，穿希儿衣服的感觉
白锦棠华,319607957,广东,1181,2025-06-17 12:09:35,表情比我想象中温柔好多，我以为她是那种非常疯的感觉
小猫doro,76698538,重庆,711,2025-06-17 12:02:49,
呦落地了,34384542,北京,409,2025-06-17 12:01:22,最强杀神登场
温迪万叶我的神,321116758,福建,388,2025-06-17 12:01:19,神秘面纱女子会出手的
丨逐界苍星丨,411491448,广西,322,2025-06-17 12:01:09,所以海瑟音出手了
申午辰,278479666,辽宁,204,2025-06-17 12:00:51,占个楼，祝大家十连双金，得偿所愿！
归途守候你,171401465,江西,129,2025-06-17 12:00:41,这个脸素赏是你吗
机械呀,301328487,湖南,16,2025-06-17 12:00:30,赢
是0037,382110485,广东,5574,2025-06-17 16:54:28,
终焉倒计时,5167816,重庆,5121,2025-06-17 15:19:08,
宇宙无敌纯美骑士,240599809,上海,1065,2025-06-17 12:07:04,sp素裳是你吗
清秋不渡我,374500502,广东,3747,2025-06-17 13:02:16,dot女子否输矣。岂无人觉 dot 之队可怖非常耶？队中有女，头覆缦纱，疯然掷牌向敌，复施魔法之阵。遂唤紫晶巨擘，其形不可名状，仿若中世纪之恶巫，恣以诅咒加诸敌身。又有紫发之女，目覆墨镜，持枪挟刃，一望即知非善类也。其枪击之际，弹如雨下，似不惜费。且独自狂旋，口中喃喃：“当言别矣。”然数合已过，竟无一人中创。此二女连施诡谲之术，其技不可胜述，然所伤殊寡。实不知其所为者何，愈观之，愈觉诡异非常，令人惑焉。
鏚挪骤,294022201,湖南,8354,2025-07-05 12:58:54,所以，我出手了
应承语,332687844,江西,8344,2025-07-03 15:57:26,难道没人注意到海瑟音中间是透明的吗？搞不好中间已经被贯穿了，然后海瑟音用半神之力重塑了
風雲cl,305052022,山东,8320,2025-07-02 01:49:10,你又什么时候补强呢？
②锅头女孩,158838477,广东,8314,2025-07-01 21:57:46,卡厨的脊梁骨彻底的断了
义乌所友,447144420,河南,8252,2025-06-27 05:02:09,祝我流萤不歪
一羽棠,277399014,四川,8246,2025-06-26 16:32:10,加强黑天鹅。。
Chpria,388352719,,8242,2025-06-26 12:19:13,嘛，我的重点是……灰色的小鱼苗哈哈哈。喜提一个新称谓
盛华星长,399511146,河南,8006,2025-06-20 18:43:28,竟然没有人翻译文字吗？那我来！May the next feast be eternal“愿下一次盛宴永恒” 或 “愿接下来的欢宴永不终结”
落Nox,387550257,安徽,7966,2025-06-20 12:22:28,留给人类的姿势不多了、评论区别阴阳了
汤圆殿下,320428560,四川,7936,2025-06-20 05:53:33,这是卡妈售后吗，是的话我可回归了
萌薪王,7937602,,7912,2025-06-19 23:00:14,这个……不太行，首先配色就不统一，想体现海洋主题的蓝紫色，和想体现严肃风格的咖色和黑色，用了红紫色做过度和渐变，但整体观感完全不协调，甚至不如直接用伊甸的那个风格设计的好，其次主题不明既没有突出优雅，也没有突出希腊文明背景的主题（希腊神话有一半在海上，你的选题按说是挺丰富的啊？为什么不用呢？波塞冬，九头蛇，各种海怪，海妖，一个都没有？），更没有突出法吉娜的那些标志性属性，金杯，欢宴之类的特征唯一能产生联想的是那个贝壳的装饰+一个海底的背景板，但你说这个服装是希儿的什么新时装我觉得也合理……就……不太行啊，亲
A清铉A,210889581,陕西,7908,2025-06-19 22:24:21,我说看着这么熟悉，原来是李素裳啊
仲夏夜潇潇梦,327501665,河南,7898,2025-06-19 21:26:32,不是，一个海洋的半神，身上的蓝色还没有刻律多，dot队身上就必须带点紫对吧
我是天理1,389199943,山东,7841,2025-06-19 12:46:25,太好了！我们dot队有救了！
星月柔茫,317489451,河南,7822,2025-06-19 10:15:48,灵砂新形态
XiR,277601514,江苏,7821,2025-06-19 10:13:40,出手罢神秘头纱女子墨镜女子
限亮版灯泡,420891211,山东,7710,2025-06-18 22:17:06,爷：谁？谁在说我说是小鱼苗
xlrk,287795861,广西,7698,2025-06-18 22:00:21,咕嘿嘿，洞洞袜袜，嘿嘿
肥宅狗勾,197146363,湖南,7649,2025-06-18 19:02:40,这不赛琳娜吗？
千人律者1001,424359946,河北,7648,2025-06-18 19:02:25,你们说新角色都会怎么死啊？
Polaris祈风,368646085,黑龙江,7594,2025-06-18 15:38:47,期望建模的脸看起来御一点吧
奥伯龙的阿瓦隆,380452137,重庆,7471,2025-06-18 12:20:39,欢迎来到dot队
慕鸣W,440176240,湖南,7467,2025-06-18 12:14:14,浮梦若薇！！！
鸿音,257519031,陕西,7456,2025-06-18 12:01:06,希望建模不要又是午餐肉吧
柿衫浩胤记jd93,79403219,湖南,7438,2025-06-18 11:36:25,@崩坏星穹铁道 下半卡池呢？ 不会又拖延吧
霜神and哈宝,193067171,四川,7420,2025-06-18 11:17:53,啊！大海啊！母亲～
大团鱼,287837117,江苏,7368,2025-06-18 10:17:32,这立绘也太普了，普的像仙舟女角色
懿卉,296866654,山东,7360,2025-06-18 10:09:24,我要御姐，不要少女
胖兔吉祥物,390652305,山东,7349,2025-06-18 10:02:13,我完蛋了……我还说这虚无强攻是什么东西
白星幻龙,79689312,河北,7297,2025-06-18 09:12:41,海的女儿
绘Sakure,340482080,美国,7285,2025-06-18 08:59:25,我们虚无党真的是享福了，海瑟音再不支棱点我真要下载国家反诈app，求求你来个人类吧
云所知不,256333271,河南,7283,2025-06-18 08:58:08,有点像
亓水,311945721,山西,7276,2025-06-18 08:54:54,
V5g,328398288,天津,7266,2025-06-18 08:41:35,"其实眼睛或者说眼神和芽衣(后崩坏书)的也有些像
不过只要好看就行"
过客522,305787892,北京,7263,2025-06-18 08:40:50,
一星独烁,163636151,山西,7262,2025-06-18 08:40:13,这个立绘也太差了
藿藿小哭包,290462683,陕西,7257,2025-06-18 08:36:12,期待中午12点刻律德拉的立绘
藿藿小哭包,290462683,陕西,7256,2025-06-18 08:35:58,期待中午12点刻律德拉的立绘
军谘祭酒,17975721,广西,7141,2025-06-18 06:24:36,神秘出手女子和神秘墨镜女子终于等来了神秘拉琴女子
林子曦being,291794746,陕西,7101,2025-06-18 03:40:45,没pv里的影子好看。
打个酱油就溜,347443371,江苏,7069,2025-06-18 02:17:52,裙子是希儿，脸是素裳，背景是白露，姿势是灵砂
恋慕想吃饭,285236072,四川,7023,2025-06-18 01:16:03,"石见舞菜香？？？
当她出来的时候这就是一道必选题
椎名真昼yyds"
行云止戈,371714170,安徽,6981,2025-06-18 00:44:03,"虽然但是，第一眼真的像李素裳啊，仔细一看还有灵砂希儿的影子……
没玩过崩三，但因为素裳和罗刹去隔壁翻过一些帖子，我还以为是崩三新服装来着，仔细一看原来是海瑟音啊……海瑟音！！！"
Megrez屋,98932186,甘肃,6970,2025-06-18 00:38:19,好敷衍的设计。。产能不够了吗
胜者为王DFXC,288127825,安徽,6869,2025-06-17 23:46:16,素裳穿着希儿的衣服，摆出灵砂的姿势换个名字叫海瑟音
继国鸢尾,256189406,陕西,6747,2025-06-17 22:47:21,计划有变，对不起，白厄
夏含季,304300139,湖北,6660,2025-06-17 22:03:54,不是，这和我印象中的不符啊，不应该是高冷御姐吗？现在这是怎么回事，而且很像缝合怪啊
威化不想996,160136540,重庆,6646,2025-06-17 21:59:43,模拟宇宙的图标，一直让我以为海瑟音是星铁的少女
