评论,评论时间,标签,得分,情感数值,文本长度,34,666,be,doge,dot,dot队有救了,eternal,feast,may,next,the,不对,不是,不是哥们,伊甸,你怎么穿着希儿的衣服,你是,卡芙卡,只需等待,后崩芽衣,哇哦,坏了,太好了,她真好看,好像李素裳,好好好,好家伙,好漂亮,好看,好美,好耶,妈妈,姐姐,孩子们,对不起,希儿,希儿的衣服,希儿的配色,希尔,愿下一场欢宴永不落幕,愿下一场盛宴永恒,懂了,我出手了,我去,所以,所以我出手了,拼好人,拼好音,是你吗,有意思,有点意思,李大枕头,李素裳,李素裳的脸,来了,来了来了,浮梦若薇,海列屈拉,海瑟音,海瑟音大人,海瑟音妈妈,海瑟音立绘上的文字,海的女儿,灰色小鱼苗,灰色的小鱼苗,灵砂,灵砂的动作,灵砂的姿势,物理,物理虚无,珊瑚宫素裳,白厄,白露,白露的背景,真好看,石见舞菜香,破洞丝袜,破洞黑丝,第一,第一眼,第二眼,素裳,素裳你怎么穿着希儿的衣服,素裳是你吗,素裳的头,素裳的脸,缝合怪,老婆,芽衣,蕾耶拉,虚无,计划有变,这下不得不抽了,这是,那一晚,重铸dot荣光,阮梅,阿伽门农,难道说,黑天鹅,小时,星期几,是否周末,日期,情感均值,讨论量
感觉是为了拼循环而设定好了立绘的方向,2025-06-17 13:06:30,positive (stars 4 and 5),0.913090169429779,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,2025-06-17,0.6610871440897326,5795
怎么有一种素裳的发型➕雷律的脸和神态➕铁道希的衣服的感觉,2025-06-17 12:27:05,"negative (stars 1, 2 and 3)",0.6241883039474487,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
"啊！之前的PV的剪影酷酷的，以为是酷姐来着。
半透黑纱+破洞，咱也不是说难看，就是吧有种网恋奔现破灭的感觉",2025-06-17 13:46:54,positive (stars 4 and 5),0.5052753686904907,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,2025-06-17,0.6610871440897326,5795
这跟pv里的不太一样啊，尤其是发色和衣服，感觉差别还挺大的，还有小提琴怎么也没了，难道这个pv里的是sp海瑟音吗,2025-06-17 12:55:03,"negative (stars 1, 2 and 3)",0.8691768050193787,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
dot队会赢吗？,2025-06-17 12:00:42,positive (stars 4 and 5),0.539770245552063,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
毫无违和感,2025-06-17 12:59:13,"negative (stars 1, 2 and 3)",0.9395037293434144,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
"dot环境专
卡黑黄外无法吃
还好我全抽",2025-06-17 12:00:51,"negative (stars 1, 2 and 3)",0.8227975964546204,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
黄金史诗中的立绘这个应该更偏向建模，对比如何呢,2025-06-17 12:13:06,positive (stars 4 and 5),0.9894772171974182,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
是你吗后崩坏书的芽衣阿姨,2025-06-17 12:07:13,"negative (stars 1, 2 and 3)",0.7241930961608887,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
感觉衣服有点像希儿，脸像雷神,2025-06-17 12:03:28,"negative (stars 1, 2 and 3)",0.5301893353462219,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
乍看之下想到了素裳,2025-06-17 12:01:20,positive (stars 4 and 5),0.9692700505256652,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
这确定不是穿着希儿衣服学灵砂摆pose加一些黑丝的李素裳小姐吗？,2025-06-17 12:38:44,"negative (stars 1, 2 and 3)",0.8935091495513916,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
给大家搬个好东西,2025-06-17 22:48:37,positive (stars 4 and 5),0.9777291417121888,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,2025-06-17,0.6610871440897326,5795
李素裳?你怎么穿着希儿的衣服?！,2025-06-17 12:04:02,positive (stars 4 and 5),0.5026352405548096,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
这位终于正式露面了。这样看来明天大概率就是最后一位刻律德拉了。海列屈拉 Helektra 这个名字……原型可能是 埃莱克特拉 Elektra，两边只差了一个首字母H。埃莱克特拉 是古希腊英雄、迈锡尼国王、特洛伊远征统帅 阿伽门农 的女儿。阿伽门农 曾经自夸箭术天下无双，结果在一次狩猎中误杀了狩猎女神 阿尔忒弥斯 的神鹿，因此触怒女神。特洛伊战争爆发，阿伽门农统帅希腊联军舰队出征，女神为报复阿伽门农，让海上一直刮着逆风，导致舰队无法启航。先知作出预言：只有把 阿伽门农 的长女 伊菲革涅亚 献祭给狩猎女神，才能平息女神的怒火。阿伽门农 在纠结和不舍之后最终用&#34;送女儿出嫁”的谎言欺骗了他的妻子 克吕泰涅斯特拉，将长女推上祭坛完成献祭……这位 克吕泰涅斯特拉 我之前在 遐蝶 的考据帖子里提到过，她和 海伦（古希腊世界最美的女人、特洛伊战争导火索）、波鲁刻斯 和 卡斯托尔 兄弟（双子星座、遐蝶和死龙的原型）都是同一个母亲生下的兄弟姐妹。克吕泰涅斯特拉 后来知道了长女被 阿伽门农 献祭的真相，再加上特洛伊战争一打就是十年，独守空房的她深深憎恨杀死自己女儿的丈夫，于是和阿伽门农的兄弟 埃奎斯托斯 通奸，在丈夫帅军远征特洛伊的十年里两人一同统治迈锡尼，并且在 阿伽门农 率领希腊联军凯旋班师回国后，趁着 阿伽门农 洗澡的时候，克吕泰涅斯特拉 伙同情人谋杀了自己的丈夫。之后 阿伽门农 的儿子 俄瑞斯忒斯 听说了父亲的死讯，决心复仇，最终联合 埃莱克特拉 一起杀死母亲和她的情人，重新夺回王位。以上这段算是希腊历史神话中很经典也很重要的一段情节，以此为原型的剧作、美术作品众多，比较经典的有 埃斯库罗斯 的《阿伽门农》《奠酒人》《报仇神》三部曲，以及 索福克勒斯 的《埃莱克特拉》。顺便，心理学中有一个名词叫做&#34;恋父情结”，Electra Complex，这个词也来自于为父报仇手刃母亲的 埃莱克特拉。,2025-06-17 13:27:30,positive (stars 4 and 5),0.9711476862430573,1,808,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,13,1,0,2025-06-17,0.6610871440897326,5795
说句有点不讨喜的话（真的真的没有恶意꒰ *•ɷ•* ꒱），就是没有那么让人眼前一亮的感觉，这就有点普普通通，或许可以在背景板上加把劲？,2025-06-17 13:21:07,positive (stars 4 and 5),0.7759944200515747,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,2025-06-17,0.6610871440897326,5795
卡黑海组一辈子dot队,2025-06-17 12:01:47,positive (stars 4 and 5),0.7404744625091553,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2025-06-17,0.6610871440897326,5795
